epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,7002.71,0.86311,0.81751,0.97822,0.44133,0.86409,0.46923,0.3476,0.95724,1.32142,1.01979,0.000709809,0.000709809,0.000709809
60,7121.01,0.87688,0.79405,0.98302,0.44594,0.80355,0.46549,0.34206,0.96114,1.39976,1.01899,0.000693305,0.000693305,0.000693305
61,7238.71,0.87054,0.76793,0.97604,0.42218,0.83769,0.4711,0.34195,1.01605,1.54215,1.06189,0.000676802,0.000676802,0.000676802
62,7356.82,0.83111,0.77337,0.97189,0.41659,0.83688,0.47797,0.36363,0.93288,1.38837,0.99744,0.000660299,0.000660299,0.000660299
63,7475.12,0.84851,0.79693,0.97329,0.41402,0.80563,0.42484,0.30936,0.96523,1.37205,1.03011,0.000643795,0.000643795,0.000643795
64,7593.53,0.83193,0.80383,0.9696,0.44761,0.78384,0.48995,0.35818,0.97635,1.35018,1.04461,0.000627292,0.000627292,0.000627292
65,7713.11,0.81827,0.74383,0.95969,0.43088,0.80766,0.49383,0.35831,0.97561,1.60829,1.03969,0.000610789,0.000610789,0.000610789
66,7832.24,0.83225,0.76689,0.97298,0.4259,0.84087,0.49167,0.35564,0.99331,1.47107,1.04715,0.000594286,0.000594286,0.000594286
67,7951.19,0.86219,0.72468,0.97807,0.43524,0.82381,0.47703,0.35069,0.95894,1.34936,1.01469,0.000577782,0.000577782,0.000577782
68,8070.88,0.81287,0.73271,0.95699,0.44184,0.79516,0.50379,0.37698,0.9688,1.30396,1.01923,0.000561279,0.000561279,0.000561279
69,8189.81,0.8297,0.73055,0.96325,0.40787,0.73313,0.46439,0.3331,0.9838,1.88849,1.03233,0.000544776,0.000544776,0.000544776
70,8308.85,0.82017,0.72836,0.96084,0.42089,0.77504,0.4883,0.3607,0.98674,1.74658,1.06132,0.000528272,0.000528272,0.000528272
71,8428.11,0.83082,0.74758,0.96857,0.44375,0.79219,0.52149,0.38845,0.97446,1.46916,1.04215,0.000511769,0.000511769,0.000511769
72,8547.37,0.80154,0.6913,0.94732,0.40737,0.77045,0.46444,0.33941,0.98301,1.66378,1.04126,0.000495266,0.000495266,0.000495266
73,8666.79,0.82517,0.70053,0.96642,0.42334,0.84513,0.49091,0.3575,0.97697,1.42239,1.04317,0.000478762,0.000478762,0.000478762
74,8785.8,0.80311,0.67365,0.94386,0.43765,0.7581,0.46439,0.34428,0.98254,1.5329,1.04005,0.000462259,0.000462259,0.000462259
75,8905.1,0.80179,0.67528,0.95276,0.40215,0.7884,0.45691,0.32901,0.99117,1.506,1.04025,0.000445756,0.000445756,0.000445756
76,9024.17,0.80808,0.68144,0.95229,0.44265,0.68336,0.46878,0.34675,0.95371,1.37346,1.00821,0.000429253,0.000429253,0.000429253
77,9143.47,0.77312,0.65448,0.94306,0.40722,0.77234,0.4621,0.34188,0.95095,1.72977,1.03749,0.000412749,0.000412749,0.000412749
78,9262.81,0.78868,0.64643,0.94212,0.44025,0.8,0.49703,0.37022,1.00083,1.48527,1.06499,0.000396246,0.000396246,0.000396246
79,9382.18,0.77047,0.64484,0.9448,0.42849,0.67073,0.45744,0.34188,0.96245,1.61878,1.03129,0.000379743,0.000379743,0.000379743
80,9501.63,0.77705,0.63015,0.93024,0.47357,0.71123,0.52179,0.38725,0.97552,1.39862,1.03337,0.000363239,0.000363239,0.000363239
81,9621.56,0.77527,0.64952,0.94482,0.4337,0.76278,0.46049,0.33688,0.98086,1.82383,1.03053,0.000346736,0.000346736,0.000346736
82,9741.07,0.78898,0.64772,0.94442,0.45597,0.77721,0.49923,0.36308,1.01075,1.74073,1.04909,0.000330233,0.000330233,0.000330233
83,9860.3,0.7702,0.61848,0.94713,0.4289,0.7812,0.50157,0.36994,0.95521,1.75547,1.0372,0.000313729,0.000313729,0.000313729
84,9979.57,0.76655,0.62612,0.95255,0.42749,0.72638,0.48597,0.35616,0.99094,1.44814,1.0585,0.000297226,0.000297226,0.000297226
85,10098.5,0.75921,0.62536,0.93253,0.41672,0.79906,0.4732,0.34802,0.98294,1.54539,1.0461,0.000280723,0.000280723,0.000280723
86,10218.1,0.76331,0.59497,0.93836,0.43456,0.77045,0.50762,0.37969,0.98038,1.6984,1.05604,0.00026422,0.00026422,0.00026422
87,10337.8,0.75113,0.60219,0.9389,0.41019,0.7325,0.48907,0.3659,0.97889,1.88602,1.06773,0.000247716,0.000247716,0.000247716
88,10457.6,0.7518,0.59354,0.93239,0.50722,0.63298,0.55302,0.40851,0.96896,1.38257,1.04169,0.000231213,0.000231213,0.000231213
89,10576.8,0.76632,0.58779,0.93639,0.43139,0.74448,0.52413,0.3833,1.00376,1.73558,1.07853,0.00021471,0.00021471,0.00021471
90,10693.1,0.75639,0.55243,0.93932,0.43658,0.75247,0.50245,0.37563,0.96647,1.69422,1.0494,0.000198206,0.000198206,0.000198206
91,10806.5,0.69206,0.52431,0.90408,0.42427,0.76963,0.49346,0.36914,0.96462,1.53306,1.05354,0.000181703,0.000181703,0.000181703
92,10919.8,0.67621,0.49144,0.90468,0.43356,0.75424,0.50478,0.36962,0.96647,1.47739,1.03834,0.0001652,0.0001652,0.0001652
93,11033.3,0.66926,0.48257,0.9036,0.41196,0.76587,0.47613,0.35175,0.95276,1.55027,1.03504,0.000148696,0.000148696,0.000148696
94,11147,0.67402,0.4827,0.90383,0.43109,0.74117,0.48749,0.3625,0.979,1.67774,1.05609,0.000132193,0.000132193,0.000132193
95,11260.5,0.66772,0.45823,0.89913,0.42557,0.74715,0.49205,0.36069,0.95079,1.65133,1.0323,0.00011569,0.00011569,0.00011569
96,11373.8,0.67235,0.46166,0.89575,0.41887,0.73858,0.49353,0.36928,0.94442,1.60249,1.03618,9.91865e-05,9.91865e-05,9.91865e-05
97,11487.3,0.65451,0.44575,0.89645,0.40895,0.74746,0.47511,0.3535,0.96643,1.71849,1.04463,8.26832e-05,8.26832e-05,8.26832e-05
98,11601.1,0.64444,0.44365,0.88423,0.40415,0.72464,0.45242,0.33562,0.965,1.74331,1.04535,6.61799e-05,6.61799e-05,6.61799e-05
99,11715,0.65291,0.43622,0.88365,0.40609,0.72,0.46988,0.34762,0.9792,1.85882,1.06088,4.96766e-05,4.96766e-05,4.96766e-05
100,11828.3,0.64864,0.4316,0.88898,0.41342,0.75321,0.47414,0.35205,0.96564,1.77611,1.04787,3.31733e-05,3.31733e-05,3.31733e-05
